Image,NEW  PUAs,OLD PUAs,unicodes,Glyph Order,Priority,In System Font,Ready for API,Blacklist - Apple Only,Non-modifiable,Naming Duplicates,Added in Build #,short.name,Base Name,Extension,Shape Variant,Fill Variant,RTL extension,Base Glyph Shapes,Base Glyph Fill,Corona Mapping,Lowercase Alignment Group,Shortcut,Apple Action,Apple Entity,Semantic Shape Variant,Semantic Name 1,semantic.name.1,Semantic Name 2,semantic.name.2,Semantic Name 3,semantic.name.3,deprecated.name.1,Navigation Bar and Toolbar Icons,Written Name,Category - Old,Category Broad,Category Specific,Categories,Additional Search Metadata,Primary App,Ships in mini bars in Tigris (32pt),RTL Variant,Mirror icon for RTL?,Notes,Character (Auto),Character,Protected Symbol Notes,,,,,,,,
,10017C,E182,XXXXX,1200,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,plus,plus,,,,,XXXXX,XXXXX,XXXXX,NO,+,add,,,add,add,,,,,,add,Plus,typographic; math symbol,character,mathematical,math,"plus, add, create, new, increase",UI Kit,Yes,,FALSE,,􀅼,􀅼,,,,,,,,,
,10004C,XXXXX,2295,1201,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,plus.circle,plus,,circle,,,10017C,XXXXX,XXXXX,NO,(+),add,,circle,add,add.circle,,,,,,,Plus Circle,typographic; math symbol,character,mathematical,math,"plus, add, create, new, increase",Notes,Yes,,FALSE,,􀁌,􀁌,,,,,,,,,
,10004D,E9AE,XXXXX,1202,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,plus.circle.fill,plus,,circle,fill,,XXXXX,10004C,XXXXX,NO,,add,,circle,add,add.circle.fill,,,,,,,Plus Circle Fill,typographic; math symbol,character,mathematical,math,"plus, add, create, new, increase",,,,FALSE,,􀁍,􀁍,,,,,,,,,
,1000DC,E9EE,XXXXX,1203,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,plus.square,plus,,square,,,10017C,XXXXX,XXXXX,NO,[+],add,,square,add,add.square,,,,,,,,typographic; math symbol,character,mathematical,math,"plus, add, create, new, increase",,,,FALSE,,􀃜,􀃜,,,,,,,,,
,1000DD,E9EF,XXXXX,1204,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,plus.square.fill,plus,,square,fill,,XXXXX,1000DC,XXXXX,NO,,add,,square,add,add.square.fill,,,,,,,,typographic; math symbol,character,mathematical,math,"plus, add, create, new, increase",,,,FALSE,,􀃝,􀃝,,,,,,,,,
,10017D,E943,XXXXX,1205,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,minus,minus,,,,,XXXXX,XXXXX,XXXXX,NO,-,remove; delete,,,remove,remove,,,,,,,Minus,typographic; math symbol,character,mathematical,math,"minus, subtract, decrease, delete, remove",UI Kit,,,FALSE,,􀅽,􀅽,,,,,,,,,
,10004E,XXXXX,2296,1206,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,minus.circle,minus,,circle,,,10017D,XXXXX,XXXXX,NO,(-),remove; delete,,circle,remove,remove.circle,,,,,,,Minus Circle,typographic; math symbol,character,mathematical,math,"minus, subtract, decrease, delete, remove",UI Kit,,,FALSE,,􀁎,􀁎,,,,,,,,,
,10004F,E9AF,XXXXX,1207,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,minus.circle.fill,minus,,circle,fill,,XXXXX,10004E,XXXXX,NO,,remove; delete,,circle,remove,remove.circle.fill,,,,,,,Minus Circle Fill,typographic; math symbol,character,mathematical,math,"minus, subtract, decrease, delete, remove",,,,FALSE,,􀁏,􀁏,,,,,,,,,
,1000DE,E9F0,XXXXX,1208,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,minus.square,minus,,square,,,10017D,XXXXX,XXXXX,NO,[-],remove; delete,,square,remove,remove.square,,,,,,,,typographic; math symbol,character,mathematical,math,"minus, subtract, decrease, delete, remove",,,,FALSE,,􀃞,􀃞,,,,,,,,,
,1000DF,E9F1,XXXXX,1209,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,minus.square.fill,minus,,square,fill,,XXXXX,1000DE,XXXXX,NO,,remove; delete,,square,remove,remove.square.fill,,,,,,,,typographic; math symbol,character,mathematical,math,"minus, subtract, decrease, delete, remove",,,,FALSE,,􀃟,􀃟,,,,,,,,,
,10017E,E185,XXXXX,1215,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,multiply,multiply,,,,,XXXXX,XXXXX,XXXXX,NO,*,close; clear; stop,,,,,,,,,,,X,typographic; math symbol,character,mathematical,math,"multiply, times",UI Kit,,,FALSE,,􀅾,􀅾,,,,,,,,,
,100050,XXXXX,2297,1216,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,multiply.circle,multiply,,circle,,,10017E,XXXXX,XXXXX,NO,(*),close; clear; stop,,circle,,,,,,,,,X Circle,typographic; math symbol,character,mathematical,math,"multiply, times",,,,FALSE,,􀁐,􀁐,,,,,,,,,
,100051,E9CD,XXXXX,1217,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,multiply.circle.fill,multiply,,circle,fill,,XXXXX,100050,XXXXX,NO,,close; clear; stop,,circle,,,,,,,,,X Circle Fill,typographic; math symbol,character,mathematical,math,"multiply, times",,,,FALSE,,􀁑,􀁑,,,,,,,,,
,1000E0,EA1C,XXXXX,1218,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,multiply.square,multiply,,square,,,10017E,XXXXX,XXXXX,NO,[*],close; clear; stop,,square,,,,,,,,,,typographic; math symbol,character,mathematical,math,"multiply, times",,,,FALSE,,􀃠,􀃠,,,,,,,,,
,1000E1,EA1D,XXXXX,1219,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,multiply.square.fill,multiply,,square,fill,,XXXXX,1000E0,XXXXX,NO,,close; clear; stop,,square,,,,,,,,,,typographic; math symbol,character,mathematical,math,"multiply, times",,,,FALSE,,􀃡,􀃡,,,,,,,,,
,10017F,EACE,XXXXX,1220,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,divide,divide,,,,,XXXXX,XXXXX,XXXXX,NO,/,,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀅿,􀅿,,,,,,,,,
,100052,E9CE,XXXXX,1221,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,divide.circle,divide,,circle,,,10017F,XXXXX,XXXXX,NO,(/),,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀁒,􀁒,,,,,,,,,
,100053,E9CF,XXXXX,1222,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,divide.circle.fill,divide,,circle,fill,,XXXXX,100052,XXXXX,NO,,,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀁓,􀁓,,,,,,,,,
,1000E2,E9F4,XXXXX,1223,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,divide.square,divide,,square,,,10017F,XXXXX,XXXXX,NO,[/],,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀃢,􀃢,,,,,,,,,
,1000E3,E9F5,XXXXX,1224,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,divide.square.fill,divide,,square,fill,,XXXXX,1000E2,XXXXX,NO,,,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀃣,􀃣,,,,,,,,,
,100180,EA84,XXXXX,1225,,FALSE,TRUE,FALSE,FALSE,,15.0d1e20,equal,equal,,,,,XXXXX,XXXXX,XXXXX,NO,,,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,Numbers,,,FALSE,,􀆀,􀆀,,,,,,,,,
,100054,E9D0,XXXXX,1226,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,equal.circle,equal,,circle,,,100180,XXXXX,XXXXX,NO,(=),,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀁔,􀁔,,,,,,,,,
,100055,E9D1,XXXXX,1227,,TRUE,TRUE,FALSE,FALSE,,15.0d1e20,equal.circle.fill,equal,,circle,fill,,XXXXX,100054,XXXXX,NO,,,,,,,,,,,,,,typographic; math symbol,character,mathematical,math,,,,,FALSE,,􀁕,􀁕,,,,,,,,,
