Additional Search Metadata,Categories,Glyph Order,NEW  PUAs,Non-modifiable,Protected Symbol Notes,RTL extension,semantic.name.1,semantic.name.2,semantic.name.3,short.name,unicodes
"plus, add, create, new, increase",math,1200,10017C,FALSE,,,add,,,plus,XXXXX
"plus, add, create, new, increase",math,1201,10004C,FALSE,,,add.circle,,,plus.circle,2295
"plus, add, create, new, increase",math,1202,10004D,FALSE,,,add.circle.fill,,,plus.circle.fill,XXXXX
"plus, add, create, new, increase",math,1203,1000DC,FALSE,,,add.square,,,plus.square,XXXXX
"plus, add, create, new, increase",math,1204,1000DD,FALSE,,,add.square.fill,,,plus.square.fill,XXXXX
"minus, subtract, decrease, delete, remove",math,1205,10017D,FALSE,,,remove,,,minus,XXXXX
"minus, subtract, decrease, delete, remove",math,1206,10004E,FALSE,,,remove.circle,,,minus.circle,2296
"minus, subtract, decrease, delete, remove",math,1207,10004F,FALSE,,,remove.circle.fill,,,minus.circle.fill,XXXXX
"minus, subtract, decrease, delete, remove",math,1208,1000DE,FALSE,,,remove.square,,,minus.square,XXXXX
"minus, subtract, decrease, delete, remove",math,1209,1000DF,FALSE,,,remove.square.fill,,,minus.square.fill,XXXXX
"multiply, times",math,1215,10017E,FALSE,,,,,,multiply,XXXXX
"multiply, times",math,1216,100050,FALSE,,,,,,multiply.circle,2297
"multiply, times",math,1217,100051,FALSE,,,,,,multiply.circle.fill,XXXXX
"multiply, times",math,1218,1000E0,FALSE,,,,,,multiply.square,XXXXX
"multiply, times",math,1219,1000E1,FALSE,,,,,,multiply.square.fill,XXXXX
,math,1220,10017F,FALSE,,,,,,divide,XXXXX
,math,1221,100052,FALSE,,,,,,divide.circle,XXXXX
,math,1222,100053,FALSE,,,,,,divide.circle.fill,XXXXX
,math,1223,1000E2,FALSE,,,,,,divide.square,XXXXX
,math,1224,1000E3,FALSE,,,,,,divide.square.fill,XXXXX
,math,1225,100180,FALSE,,,,,,equal,XXXXX
,math,1226,100054,FALSE,,,,,,equal.circle,XXXXX
,math,1227,100055,FALSE,,,,,,equal.circle.fill,XXXXX
,math,1228,1000E4,FALSE,,,,,,equal.square,XXXXX
,math,1229,1000E5,FALSE,,,,,,equal.square.fill,XXXXX
,math,1230,100181,FALSE,,,,,,lessthan,XXXXX
,math,1231,100058,FALSE,,,,,,lessthan.circle,XXXXX
,math,1232,100059,FALSE,,,,,,lessthan.circle.fill,XXXXX
,math,1233,1000E6,FALSE,,,,,,lessthan.square,XXXXX
,math,1234,1000E7,FALSE,,,,,,lessthan.square.fill,XXXXX
,math,1235,100182,FALSE,,,,,,greaterthan,XXXXX
,math,1236,100056,FALSE,,,,,,greaterthan.circle,XXXXX
,math,1237,100057,FALSE,,,,,,greaterthan.circle.fill,XXXXX
,math,1238,1000E8,FALSE,,,,,,greaterthan.square,XXXXX
,math,1239,1000E9,FALSE,,,,,,greaterthan.square.fill,XXXXX
,math,1241,100183,FALSE,,,,,,number,XXXXX
,math,1242,10005A,FALSE,,,,,,number.circle,XXXXX
,math,1243,10005B,FALSE,,,,,,number.circle.fill,XXXXX
,math,1244,1000EA,FALSE,,,,,,number.square,XXXXX
,math,1245,1000EB,FALSE,,,,,,number.square.fill,XXXXX
,,1247,100184,FALSE,,,close,clear,stop,xmark,2717
,,1248,100060,FALSE,,,close.circle,clear.circle,stop.circle,xmark.circle,XXXXX
,,1249,100061,FALSE,,,close.circle.fill,clear.circle.fill,stop.circle.fill,xmark.circle.fill,XXXXX
,,1250,1000F0,FALSE,,,close.square,clear.square,stop.square,xmark.square,XXXXX
,,1251,1000F1,FALSE,,,close.square.fill,clear.square.fill,stop.square.fill,xmark.square.fill,XXXXX
,,1252,100185,FALSE,,,selected,,,checkmark,2713
,,1253,100062,FALSE,,,selected.circle,,,checkmark.circle,XXXXX
,,1254,100063,FALSE,,,selected.circle.fill,,,checkmark.circle.fill,XXXXX
,,1255,1000F2,FALSE,,,selected.square,,,checkmark.square,XXXXX
,,1256,1000F3,FALSE,,,selected.square.fill,,,checkmark.square.fill,XXXXX
,,270,1001FA,FALSE,,,verified,,,checkmark.seal,XXXXX
,,271,1001FB,FALSE,,,verified.fill,,,checkmark.seal.fill,XXXXX
,,272,1001FC,FALSE,,,not.verified,,,xmark.seal,XXXXX
,,273,1001FD,FALSE,,,not.verified.fill,,,xmark.seal.fill,XXXXX
,objects & tools,105,1006EF,FALSE,,,,,,rosette,NO
,,1470,100567,FALSE,,,,,,slash.circle,NO
,,1471,100568,FALSE,,,,,,slash.circle.fill,NO
"task, completed",,1464,10075C,FALSE,,,,,,largecircle.fill.circle,NO
,,1466,100377,FALSE,,,vignette.circle,,,smallcircle.fill.circle,XXXXX
,,1467,100569,FALSE,,,vignette.circle.fill,,,smallcircle.fill.circle.fill,NO
,,1468,10056A,FALSE,,,,,,smallcircle.circle,NO
,,1469,10056B,FALSE,,,,,,smallcircle.circle.fill,NO
,,1472,10056C,FALSE,,,,,,asterisk.circle,NO
,,1473,10056D,FALSE,,,,,,asterisk.circle.fill,NO
,,846,1003DC,FALSE,,,window,,,macwindow,XXXXX
,,848,1003DD,FALSE,,,,,,uiwindow.split.2x1,XXXXX
,,850,1003DF,FALSE,,,column.view,,,rectangle.split.3x1,XXXXX
,,851,100578,FALSE,,,column.view.fill,,,rectangle.split.3x1.fill,NO
,,863,1003E2,FALSE,,,grid.view,,,rectangle.split.3x3,XXXXX
,,864,10062E,FALSE,,,grid.view.fill,,,rectangle.split.3x3.fill,NO
,,852,1003E0,FALSE,,,,,,square.split.2x1,XXXXX
,,853,10061C,FALSE,,,,,,square.split.2x1.fill,NO
,,854,100570,FALSE,,,,,,square.split.1x2,NO
,,855,100571,FALSE,,,,,,square.split.1x2.fill,NO
,,856,10056E,FALSE,,,,,,square.split.2x2,NO
,,857,10056F,FALSE,,,,,,square.split.2x2.fill,NO
,,860,100574,FALSE,,,,,,dot.square,NO
,,861,100575,FALSE,,,,,,dot.square.fill,NO
,,274,1001FE,FALSE,,,warning,,,exclamationmark.triangle,26A0
,,275,1001FF,FALSE,,,warning.fill,,,exclamationmark.triangle.fill,XXXXX
,,276,100200,FALSE,,,liquid.detect,,,drop.triangle,XXXXX
,,277,100201,FALSE,,,liquid.detect.fill,,,drop.triangle.fill,XXXXX
,,1193,100122,FALSE,,,question,,,questionmark.diamond,XXXXX
,,1194,100123,FALSE,,,question.fill,,,questionmark.diamond.fill,XXXXX
,,1071,10062F,FALSE,,,,,,exclamationmark.octagon,NO
,,1072,100630,FALSE,,,,,,exclamationmark.octagon.fill,NO
,,1073,100489,FALSE,,,error,,,xmark.octagon,NO
,,1074,10048A,FALSE,,,error.fill,,,xmark.octagon.fill,NO
,,1149,100307,FALSE,,,drag,,,line.horizontal.3,XXXXX
,,1150,100713,FALSE,,,,,,line.horizontal.3.decrease,NO
,,1151,100308,FALSE,,,filter,,,line.horizontal.3.decrease.circle,XXXXX
,,1152,100309,FALSE,,,filter.fill,,,line.horizontal.3.decrease.circle.fill,XXXXX
,,0,100202,FALSE,,,share,,,square.and.arrow.up,XXXXX
,,1,100203,FALSE,,,share.fill,,,square.and.arrow.up.fill,XXXXX
,,2,100204,FALSE,,,download,,,square.and.arrow.down,XXXXX
,,3,100205,FALSE,,,download.fill,,,square.and.arrow.down.fill,XXXXX
,,4,100206,FALSE,,,share.multiple,,,square.and.arrow.up.on.square,XXXXX
,,5,100207,FALSE,,,share.multiple.fill,,,square.and.arrow.up.on.square.fill,XXXXX
,,6,100208,FALSE,,,download.multiple,,,square.and.arrow.down.on.square,XXXXX
,,7,100209,FALSE,,,download.multiple.fill,,,square.and.arrow.down.on.square.fill,XXXXX
,"objects & tools, editing",8,10020A,FALSE,,,edit,,,pencil,XXXXX
,"objects & tools, editing",9,10020B,FALSE,,,edit.circle,,,pencil.circle,XXXXX
,"objects & tools, editing",10,10020C,FALSE,,,edit.circle.fill,,,pencil.circle.fill,XXXXX
,"objects & tools, editing",11,10020D,FALSE,,,not.editable,,,pencil.slash,XXXXX
,"objects & tools, editing",12,10020E,FALSE,,,compose,,,square.and.pencil,XXXXX
,objects & tools,13,10020F,FALSE,,,autofill,,,pencil.and.ellipsis.rectangle,XXXXX
,"objects & tools, editing",14,100210,FALSE,,,annotate,,,pencil.and.outline,XXXXX
,"objects & tools, editing",114,10048B,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,,,,pencil.tip,NO
,"objects & tools, editing",115,100265,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,markup,,,pencil.tip.crop.circle,XXXXX
,"objects & tools, editing",116,100266,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,add.markup,,,pencil.tip.crop.circle.badge.plus,XXXXX
,"objects & tools, editing",117,100267,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,remove.markup,,,pencil.tip.crop.circle.badge.minus,XXXXX
,editing,1096,1004E8,FALSE,,,draw,,,scribble,NO
,editing,1097,1004E9,FALSE,,,lasso.select,,,lasso,NO
,objects & tools,15,100211,FALSE,,,trash,,,trash,XXXXX
,objects & tools,16,100212,FALSE,,,trash.fill,,,trash.fill,XXXXX
,objects & tools,19,100727,FALSE,,,,,,trash.slash,NO
,objects & tools,20,100728,FALSE,,,,,,trash.slash.fill,NO
,objects & tools,17,100213,FALSE,,,trash.circle,,,trash.circle,XXXXX
,objects & tools,18,100214,FALSE,,,trash.circle.fill,,,trash.circle.fill,XXXXX
,objects & tools,21,100215,FALSE,,,move,,,folder,XXXXX
,objects & tools,22,100216,FALSE,,,move.fill,,,folder.fill,XXXXX
